state,sport,material,food,labor,art,fundraise,mentor,other,counseling,office,professional,teach,religion,all
Alabama,0.07,0.25,0.32,0.24,0.11,0.29,0.28,0.08,0.11,0.09,0.15,0.25,0.15,0.27
Alaska,0.12,0.23,0.24,0.29,0.15,0.36,0.33,0.09,0.11,0.11,0.25,0.24,0.11,0.41
Arizona,0.15,0.26,0.24,0.21,0.2,0.32,0.28,0.1,0.12,0.09,0.14,0.29,0.16,0.3
Arkansas,0.14,0.3,0.41,0.23,0.2,0.34,0.36,0.05,0.13,0.12,0.23,0.28,0.15,0.3
California,0.13,0.23,0.27,0.17,0.13,0.36,0.25,0.1,0.09,0.1,0.18,0.22,0.14,0.25
Colorado,0.12,0.27,0.25,0.22,0.11,0.4,0.23,0.08,0.09,0.11,0.2,0.24,0.15,0.32
Connecticut,0.11,0.19,0.32,0.2,0.12,0.24,0.17,0.11,0.11,0.09,0.21,0.22,0.13,0.32
Delaware,0.12,0.32,0.33,0.22,0.11,0.4,0.26,0.08,0.09,0.18,0.28,0.21,0.15,0.32
District of Columbia,0.06,0.28,0.33,0.18,0.17,0.37,0.3,0.09,0.1,0.18,0.33,0.29,0.14,0.4
Florida,0.11,0.28,0.35,0.21,0.1,0.28,0.22,0.09,0.1,0.14,0.19,0.18,0.14,0.23
Georgia,0.12,0.24,0.39,0.19,0.12,0.38,0.27,0.08,0.1,0.11,0.16,0.24,0.18,0.27
Hawaii,0.1,0.19,0.27,0.33,0.14,0.38,0.27,0.09,0.09,0.18,0.23,0.21,0.09,0.28
Idaho,0.13,0.26,0.36,0.27,0.16,0.36,0.36,0.08,0.1,0.1,0.2,0.35,0.16,0.38
Illinois,0.15,0.29,0.37,0.2,0.16,0.37,0.24,0.08,0.07,0.13,0.23,0.21,0.13,0.28
Indiana,0.09,0.28,0.42,0.24,0.15,0.4,0.29,0.07,0.13,0.09,0.21,0.22,0.17,0.35
Iowa,0.14,0.2,0.32,0.28,0.1,0.3,0.2,0.11,0.07,0.09,0.18,0.2,0.19,0.42
Kansas,0.1,0.25,0.39,0.22,0.15,0.3,0.26,0.09,0.06,0.11,0.21,0.17,0.17,0.37
Kentucky,0.15,0.32,0.33,0.3,0.15,0.45,0.33,0.07,0.11,0.09,0.2,0.23,0.19,0.28
Louisiana,0.1,0.26,0.38,0.2,0.17,0.32,0.26,0.09,0.12,0.09,0.14,0.25,0.14,0.26
Maine,0.13,0.25,0.38,0.31,0.19,0.45,0.24,0.13,0.14,0.12,0.28,0.21,0.1,0.39
Maryland,0.16,0.3,0.34,0.22,0.18,0.37,0.28,0.15,0.12,0.18,0.23,0.24,0.21,0.36
Massachusetts,0.15,0.26,0.25,0.16,0.1,0.34,0.22,0.11,0.08,0.07,0.22,0.19,0.11,0.33
Michigan,0.11,0.23,0.32,0.22,0.14,0.36,0.23,0.08,0.06,0.09,0.18,0.21,0.15,0.29
Minnesota,0.11,0.21,0.35,0.26,0.11,0.37,0.21,0.05,0.08,0.09,0.24,0.22,0.15,0.45
Mississippi,0.07,0.19,0.33,0.14,0.11,0.34,0.22,0.08,0.06,0.05,0.12,0.18,0.19,0.24
Missouri,0.15,0.26,0.34,0.19,0.15,0.34,0.28,0.05,0.08,0.07,0.22,0.2,0.13,0.32
Montana,0.13,0.24,0.32,0.31,0.17,0.37,0.26,0.05,0.12,0.14,0.29,0.24,0.16,0.39
Nebraska,0.11,0.27,0.41,0.3,0.15,0.37,0.26,0.1,0.08,0.13,0.26,0.25,0.21,0.4
Nevada,0.18,0.24,0.26,0.24,0.18,0.28,0.28,0.1,0.09,0.15,0.19,0.28,0.12,0.24
New Hampshire,0.14,0.22,0.31,0.27,0.14,0.32,0.22,0.12,0.07,0.13,0.21,0.2,0.07,0.36
New Jersey,0.1,0.24,0.25,0.23,0.08,0.38,0.22,0.07,0.09,0.12,0.2,0.18,0.11,0.26
New Mexico,0.14,0.16,0.23,0.17,0.16,0.32,0.28,0.1,0.08,0.09,0.21,0.19,0.07,0.27
New York,0.08,0.24,0.29,0.17,0.13,0.36,0.23,0.08,0.09,0.09,0.21,0.22,0.13,0.25
North Carolina,0.12,0.29,0.38,0.2,0.16,0.36,0.25,0.08,0.1,0.14,0.23,0.21,0.19,0.35
North Dakota,0.12,0.32,0.51,0.34,0.19,0.44,0.29,0.07,0.09,0.16,0.28,0.19,0.31,0.37
Ohio,0.14,0.33,0.41,0.27,0.16,0.37,0.27,0.06,0.08,0.12,0.22,0.22,0.19,0.33
Oklahoma,0.15,0.23,0.33,0.28,0.15,0.34,0.27,0.08,0.08,0.1,0.23,0.24,0.14,0.32
Oregon,0.17,0.27,0.36,0.32,0.18,0.42,0.38,0.07,0.12,0.12,0.27,0.32,0.21,0.43
Pennsylvania,0.13,0.27,0.38,0.24,0.15,0.44,0.26,0.09,0.09,0.11,0.25,0.19,0.18,0.34
Rhode Island,0.11,0.27,0.22,0.19,0.14,0.36,0.27,0.04,0.1,0.14,0.24,0.2,0.13,0.31
South Carolina,0.09,0.28,0.39,0.17,0.16,0.36,0.25,0.09,0.11,0.13,0.17,0.25,0.23,0.31
South Dakota,0.12,0.19,0.41,0.33,0.2,0.39,0.26,0.07,0.1,0.07,0.24,0.24,0.27,0.36
Tennessee,0.09,0.25,0.38,0.19,0.16,0.32,0.25,0.1,0.07,0.08,0.18,0.25,0.2,0.31
Texas,0.09,0.29,0.36,0.26,0.1,0.32,0.26,0.08,0.09,0.13,0.15,0.21,0.16,0.28
Utah,0.13,0.29,0.32,0.31,0.23,0.22,0.43,0.1,0.09,0.13,0.14,0.46,0.12,0.51
Vermont,0.15,0.18,0.27,0.22,0.12,0.33,0.19,0.12,0.1,0.08,0.28,0.18,0.06,0.36
Virginia,0.1,0.25,0.38,0.21,0.1,0.28,0.21,0.12,0.07,0.1,0.18,0.2,0.13,0.34
Washington,0.11,0.24,0.29,0.23,0.15,0.35,0.27,0.09,0.09,0.12,0.22,0.24,0.13,0.36
West Virginia,0.11,0.28,0.39,0.18,0.11,0.38,0.24,0.08,0.09,0.1,0.14,0.19,0.17,0.28
Wisconsin,0.11,0.22,0.32,0.26,0.12,0.38,0.25,0.1,0.09,0.09,0.18,0.24,0.15,0.37
Wyoming,0.15,0.22,0.3,0.39,0.2,0.4,0.33,0.09,0.1,0.13,0.29,0.26,0.15,0.33
